W12x14|14|4.16|17.4|88.6|36|3.1|2.97|9.2|54.3|11.91|0.20
W10x19|19|5.62|21.6|96.3|36|3.6|2.6|12.0|35.4|10.24|0.25
W10x22|22|6.49|26.0|118|36|5.5|2.18|16.9|36.9|10.17|0.24
W12x22|22|6.48|29.3|156|36|3.5|3.88|11.1|41.8|12.31|0.26
W14x22|22|6.49|33.2|199|36|4.3|4.06|12.5|53.5|13.74|0.23
W12x26|26|7.65|37.2|204|36|6.3|3.0|18.1|47.2|12.22|0.23
W14x26|26|7.69|40.2|245|36|4.5|4.44|13.4|48.1|13.91|0.255
W16x26|26|7.68|44.2|301|36|4.7|5.12|13.3|56.8|15.69|0.25
W14x30|30|8.85|47.3|291|36|6.2|3.92|17.9|45.4|13.84|0.27
W16x31|31|9.12|54|375|36|4.9|5.7|14.3|51.6|15.88|0.275
W14x34|34|10.0|54.6|340|36|6.4|4.19|19.0|43.1|13.98|0.285
W18x35|35|10.3|66.5|510|36|5.1|6.93|14.8|53.5|17.7|0.300
W16x40|40|11.8|72.9|518|36|6.5|5.53|19.3|46.6|16.01|0.305
W18x40|40|11.8|78.4|612|36|5.3|7.52|15.7|51.0|17.90|0.315
W12x58|58|17.0|86.4|475|36|10.5|2.91|38.4|27.0|12.19|0.36
W21x44|44|13.0|95.4|843|36|5.3|9.66|15.4|53.6|20.66|0.35
W18x50|50|14.7|101|800|36|6.9|7.29|20.5|45.2|17.99|0.355
